conversation_id,n_comments,s80,s90
9cjn7a,375,0.5786666666666667,0.7813333333333333
9cjqfw,54,0.6296296296296297,0.7962962962962963
9cjqt2,26,0.6538461538461539,0.8461538461538461
9cjtkd,36,0.6388888888888888,0.8333333333333334
9cju3d,27,0.6666666666666666,0.8518518518518519
9cjup0,40,0.575,0.775
9cjvjq,239,0.6276150627615062,0.8075313807531381
9ck038,47,0.574468085106383,0.7659574468085106
9ck35x,23,0.6521739130434783,0.8260869565217391
9ck4fw,47,0.6595744680851063,0.851063829787234
9ck5sj,24,0.6666666666666666,0.875
9ck7wk,20,0.65,0.85
9ck9hs,29,0.6896551724137931,0.8275862068965517
9ckbkp,34,0.5,0.7647058823529411
9ckfnl,116,0.6896551724137931,0.853448275862069
9ckjy3,47,0.6595744680851063,0.7872340425531915
9ckkzs,71,0.4929577464788732,0.7746478873239436
9ckrta,21,0.6666666666666666,0.8571428571428571
9cky0y,25,0.64,0.84
9cl0x9,42,0.6428571428571429,0.8095238095238095
9cl2ru,66,0.6363636363636364,0.8181818181818182
9cl4bt,28,0.6428571428571429,0.8214285714285714
9cl4mg,30,0.6,0.7666666666666667
9cl5wd,108,0.6388888888888888,0.8240740740740741
9cl6bv,45,0.6222222222222222,0.8222222222222222
9cl6u3,23,0.5652173913043478,0.7391304347826086
9cl7z0,163,0.5950920245398773,0.803680981595092
9clb4f,23,0.5652173913043478,0.8260869565217391
9clbf7,667,0.5802098950524738,0.7871064467766117
9clck4,34,0.5294117647058824,0.7352941176470589
9clcsx,28,0.6428571428571429,0.8214285714285714
9clddx,30,0.5333333333333333,0.8
9clefh,22,0.5909090909090909,0.8636363636363636
9clesr,21,0.6666666666666666,0.8571428571428571
9clfho,23,0.6956521739130435,0.8260869565217391
9clhqo,27,0.6666666666666666,0.8888888888888888
9clnec,33,0.5757575757575758,0.7575757575757576
9clst6,43,0.627906976744186,0.7906976744186046
9clvth,23,0.5652173913043478,0.5652173913043478
9clwom,31,0.7096774193548387,0.8387096774193549
9clwu3,29,0.5172413793103449,0.7931034482758621
9cm1mt,53,0.5660377358490566,0.7547169811320755
9cm43y,23,0.6521739130434783,0.8260869565217391
9cma5u,21,0.6666666666666666,0.9047619047619048
9cmazx,924,0.5854978354978355,0.7932900432900433
9cmesv,64,0.640625,0.84375
9cmg3m,20,0.65,0.9
9cmjiv,28,0.5357142857142857,0.75
9cmjri,20,0.7,0.85
9cmkaq,25,0.56,0.8
9cml3e,24,0.625,0.8333333333333334
9cmmu5,55,0.6,0.8
9cmolz,50,0.68,0.82
9cmqch,21,0.7142857142857143,0.8571428571428571
9cmrq2,26,0.7692307692307693,0.8846153846153846
9cmvty,169,0.5976331360946746,0.7810650887573964
9cmwh9,20,0.55,0.8
9cmwko,37,0.5945945945945946,0.8108108108108109
9cn1b2,22,0.5454545454545454,0.8181818181818182
9cn4fi,46,0.6956521739130435,0.8260869565217391
9cn6vv,69,0.6376811594202898,0.8115942028985508
9cn7va,27,0.6666666666666666,0.8518518518518519
9cn88v,23,0.6521739130434783,0.8695652173913043
9cne9h,31,0.6451612903225806,0.8064516129032258
9cnefg,27,0.7037037037037037,0.8518518518518519
9cnngh,39,0.7692307692307693,0.8717948717948718
9cnu5n,43,0.627906976744186,0.7906976744186046
9cnvnj,59,0.576271186440678,0.7796610169491526
9cnwhg,37,0.6216216216216216,0.8108108108108109
9cnycc,41,0.5853658536585366,0.8048780487804879
9cnz5j,20,0.65,0.8
9co9od,31,0.6451612903225806,0.7741935483870968
9cod9a,21,0.3333333333333333,0.7619047619047619
9cogw6,40,0.625,0.85
9cohhe,31,0.6774193548387096,0.8387096774193549
9cohy8,33,0.6060606060606061,0.8181818181818182
9coznw,34,0.6176470588235294,0.7941176470588235
9cp6qx,25,0.56,0.76
9cp8zg,21,0.6666666666666666,0.8571428571428571
9cpl63,28,0.6785714285714286,0.8214285714285714
9cpus0,41,0.4878048780487805,0.7317073170731707
9cpzoy,20,0.7,0.85
9cq0su,217,0.5944700460829493,0.7880184331797235
9cq22d,38,0.6052631578947368,0.7894736842105263
9cq5gl,21,0.6190476190476191,0.8095238095238095
9cqarc,25,0.6,0.8
9cqbx4,97,0.5979381443298969,0.7938144329896907
9cqfbm,48,0.625,0.8125
9cqkvf,33,0.6666666666666666,0.8484848484848485
9cqrzv,33,0.5454545454545454,0.7575757575757576
9cqznz,48,0.6666666666666666,0.8541666666666666
9cr1zt,47,0.574468085106383,0.7659574468085106
9cr9c1,42,0.6190476190476191,0.8095238095238095
9crcrw,21,0.6666666666666666,0.8571428571428571
9crh9f,54,0.5925925925925926,0.7777777777777778
9crhr5,66,0.6818181818181818,0.8181818181818182
9crlos,20,0.6,0.85
9crpnp,44,0.6136363636363636,0.75
9crsqv,26,0.6923076923076923,0.8076923076923077
9cru5g,59,0.576271186440678,0.7627118644067796
9crw6h,25,0.64,0.8
9crxf0,20,0.7,0.85
9cs27p,146,0.6027397260273972,0.8013698630136986
9cs6u7,49,0.5918367346938775,0.7959183673469388
9cs8xt,78,0.6153846153846154,0.8076923076923077
9cs9zb,141,0.5886524822695035,0.7872340425531915
9cse77,25,0.72,0.88
9cshdn,47,0.7021276595744681,0.851063829787234
9csjyx,70,0.6714285714285714,0.8285714285714286
9csmyf,44,0.5681818181818182,0.7727272727272727
9cspev,67,0.373134328358209,0.7761194029850746
9csqao,24,0.625,0.8333333333333334
9csxfg,31,0.5483870967741935,0.7741935483870968
9cszl2,69,0.6086956521739131,0.7971014492753623
9ct1kl,20,0.7,0.85
9ctbvm,65,0.676923076923077,0.8153846153846154
9ctce6,56,0.5892857142857143,0.7857142857142857
9ctdsk,137,0.6423357664233577,0.8321167883211679
9ctgn4,36,0.6388888888888888,0.8055555555555556
9ctm0h,28,0.5714285714285714,0.7857142857142857
9ctqau,31,0.6129032258064516,0.8064516129032258
9ctw91,41,0.6341463414634146,0.8536585365853658
9cu1xv,31,0.6129032258064516,0.8387096774193549
9cu5je,44,0.7045454545454546,0.8636363636363636
9cu9ec,21,0.5238095238095238,0.7619047619047619
9cudi6,89,0.6292134831460674,0.7865168539325843
9cuegj,29,0.6206896551724138,0.7931034482758621
9cuh2y,20,0.65,0.8
9cuh5y,97,0.6082474226804123,0.7938144329896907
9cup0r,23,0.6956521739130435,0.9130434782608696
9cus6w,34,0.5882352941176471,0.7647058823529411
9cuxhz,32,0.46875,0.75
9cuy5u,64,0.609375,0.796875
9cv0ut,136,0.5882352941176471,0.8014705882352942
9cv18m,23,0.6086956521739131,0.782608695652174
9cv2zd,45,0.6444444444444445,0.8444444444444444
9cv36z,170,0.5941176470588235,0.8
9cvbz2,32,0.65625,0.8125
9cvgh2,48,0.6458333333333334,0.8541666666666666
9cvmt5,26,0.6538461538461539,0.8461538461538461
9cvnk1,78,0.6153846153846154,0.8076923076923077
9cvp42,24,0.6666666666666666,0.7916666666666666
9cvq4z,25,0.68,0.84
9cvqbi,72,0.6388888888888888,0.8333333333333334
9cvs4v,25,0.72,0.84
9cvvf7,23,0.6086956521739131,0.8695652173913043
9cw11m,29,0.5862068965517241,0.7931034482758621
9cw19c,23,0.6956521739130435,0.8695652173913043
9cw1uy,30,0.7,0.8666666666666667
9cw5q4,65,0.6615384615384615,0.8307692307692308
9cw61w,23,0.6521739130434783,0.8695652173913043
9cw6pd,34,0.5882352941176471,0.7647058823529411
9cw74y,25,0.6,0.76
9cwez9,39,0.5641025641025641,0.7948717948717948
9cwgot,97,0.6804123711340206,0.8556701030927835
9cwicv,20,0.4,0.7
9cwsve,462,0.577922077922078,0.7705627705627706
9cwt61,67,0.6119402985074627,0.7910447761194029
9cwx1h,53,0.5471698113207547,0.7547169811320755
9cwy4j,59,0.6440677966101694,0.7966101694915254
9cx3me,30,0.36666666666666664,0.7
9cx841,21,0.6190476190476191,0.8571428571428571
9cx8w0,84,0.6309523809523809,0.8214285714285714
9cxfic,772,0.6101036269430051,0.805699481865285
9cxfrv,54,0.6296296296296297,0.8518518518518519
9cxge6,29,0.6206896551724138,0.7931034482758621
9cxgui,30,0.5333333333333333,0.7666666666666667
9cxq3u,25,0.6,0.8
9cybux,167,0.5568862275449101,0.7425149700598802
9cyelo,194,0.5927835051546392,0.7835051546391752
9cyerw,50,0.64,0.8
9cygiy,34,0.5882352941176471,0.7647058823529411
9cyh2q,72,0.6944444444444444,0.8472222222222222
9cyhgv,28,0.6785714285714286,0.8214285714285714
9cyhq5,188,0.5531914893617021,0.7819148936170213
9cyip0,34,0.6470588235294118,0.8529411764705882
9cynsg,38,0.6842105263157895,0.8421052631578947
9cyo6c,22,0.6818181818181818,0.8181818181818182
9cz1ox,26,0.6153846153846154,0.8076923076923077
9cz8n4,23,0.6521739130434783,0.8260869565217391
9cz8tb,49,0.5510204081632653,0.7755102040816326
9czlug,324,0.5555555555555556,0.7746913580246914
9czmyi,25,0.68,0.84
9czn0z,40,0.675,0.825
9czqkl,34,0.5882352941176471,0.7647058823529411
9czqy8,74,0.6081081081081081,0.7972972972972973
9czrzg,24,0.6666666666666666,0.875
9czsos,21,0.6666666666666666,0.8571428571428571
9d02ws,22,0.6818181818181818,0.8636363636363636
9d07z8,43,0.6744186046511628,0.8372093023255814
9d0l62,38,0.6578947368421053,0.8157894736842105
9d0u9k,20,0.65,0.8
9d12rh,21,0.6666666666666666,0.8571428571428571
9d19q2,43,0.6046511627906976,0.7906976744186046
9d1bhk,29,0.6206896551724138,0.8275862068965517
9d1ef2,161,0.6211180124223602,0.782608695652174
9d1g2v,25,0.68,0.84
9d1lvm,38,0.6842105263157895,0.868421052631579
9d1lwc,24,0.7083333333333334,0.8333333333333334
9d1mtq,97,0.6082474226804123,0.7938144329896907
9d1ng1,69,0.6666666666666666,0.8260869565217391
9d1ud6,285,0.624561403508772,0.8140350877192982
9d1vw7,32,0.6875,0.84375
9d1x7s,57,0.6666666666666666,0.8070175438596491
9d1zqu,71,0.704225352112676,0.8450704225352113
9d212k,31,0.6451612903225806,0.8064516129032258
9d218m,28,0.6785714285714286,0.8571428571428571
9d2i1i,40,0.625,0.775
9d2qvt,25,0.6,0.8
9d2sl5,66,0.6818181818181818,0.8484848484848485
9d2wku,26,0.6538461538461539,0.8461538461538461
9d2xje,58,0.6379310344827587,0.8275862068965517
9d32iz,23,0.6956521739130435,0.8260869565217391
9d3p7k,44,0.6590909090909091,0.8181818181818182
